name,description,link
Answering Reading Comprehension Questions,From Short Context to Long Passages: Generalizing QA Models to Answer Standardized Test Reading Comprehension Questions,https://devpost.com/software/dl-final-project
Find a specific photo in the album,"In our daily life, we must have encountered this situation that it is hard to find a specific photo in our album. With this model, we just need to give a description to locate the photo we want!",https://devpost.com/software/find-a-photo-in-the-album
Using Deep Learning to Predict Protein Secondary Structure,This project seeks to take two different approaches to predict the secondary structure of proteins based on the primary structure of the amino acid chain.,https://devpost.com/software/using-deep-learning-to-predict-protein-secondary-structure
Alzheimer's Disease Classification Using Language Models,We propose to feed patient hospital notes into a transformer language model to predict whether a patient gets Alzheimer's disease.,https://devpost.com/software/alzheimer-s-disease-classification-using-transformers
Handwritten Equation Identifier,"Too lazy LaTex to type math symbols, try out this model that will transform handwritten equations to a typed text.",https://devpost.com/software/handwritten-equation-identifier
Fake Finders,Detect fakes from the dataset containing real images and CNN-augmented images.,https://devpost.com/software/fake-finders
Bias Identification of Political Media,We attempt to scan political text articles and identify sentences that have liberal or conservative biases in them using NLP and deep learning.,https://devpost.com/software/bias-identification-of-political-media
Who Let the Cat Out? Siamese Network Authorship Verification,Are two texts from the same author? This network (hopefully) knows.,https://devpost.com/software/who-let-the-cat-out-siamese-network-authorship-verification
MIMIC,Disease prediction using deep learning.,https://devpost.com/software/mimic-k3huvm
Forward and Inverse Problem of the Michelson interferometer,Use CNN and dcGAN to study the interference pattern.,https://devpost.com/software/digital-image-correlation-for-strain-field
Deep Price Learning,We analyze stonk price patterns in order to predict future price gyrations in a volatile and unpredictable global market (2021-?),https://devpost.com/software/deep-price-learning
test,test,https://devpost.com/software/test-s8wu9o
Plant Cell Segmentation with a Convolutional Neural Network,Reimplementing 2d segmentation for plant cells.,https://devpost.com/software/plant-cell-segmentation-with-a-convolutional-neural-network
Joint Image Training for Transformers in Supervised Learning,A regularization method for ViT. Works surprisingly well on small scale datasets!,https://devpost.com/software/depp-learning
