name,description,link
Covid-19 Estimation Online Test Based on Lung Sound,Covid-19 sound classifier project,https://devpost.com/software/covid-19-estimation-online-test-based-on-lung-sound
AlzheimersAI,A customized quiz and uploaded brain scan analyzed by a neural network to determine the users’ Alzheimer's Index.,https://devpost.com/software/alzheimersai
M-VIC19: McMarvin Vision Imaging for COVID19,M-VIC19 is an AI Diagnosis platform is to help hospitals screen suspects and automatically locate the infected areas inside the lungs caused by the Novel Coronavirus using chest radiographs.,https://devpost.com/software/covnatic-covid-19-ai-diagnosis-platform
Masked AI: AI Solution for Face Mask Identification,Masked AI is a cloud-based AI solution for real-time surveillance that keeps an eye on the human who violates the rule by not using face masks in public places.,https://devpost.com/software/masked-ai-masks-detection-and-recognition
Covid-19 protection,"System with plaket Arduino , application from Appinvetor , sensors ultrasonic, screen, servo motors and bluetooth....more details below.",https://devpost.com/software/covid-19-protection-qwcd8p
Covidtestingnear.me,"A website to see the map of all the COVID-19 testing sites in the US, and find the nearest location to the user.",https://devpost.com/software/covid-19-test-centers-map-data
Tidal Predictions,Maximising energy harvest in a time where electricity usage is at peak due to lockdown.,https://devpost.com/software/tidal-predictions-kxrijb
Centivize,Incentivizing smart healthcare and social good.,https://devpost.com/software/centivize-ot7k1w
COVID-19 Detection System,"It is a web based application.You need to Upload Your X-RAY And you will Get Results : COVID + or COVID - if you get detected with COVID+ then you must contact to specialist !! STAY HOME ,STAY SAFE !!",https://devpost.com/software/covid-19-detection-system-57wzbc
COVID FYI,One-stop platform for the citizens to access covid-related services and help from official government sources.,https://devpost.com/software/covid-fyi
BigFridge - Big Data of Food,We build a bridge over fridges. BigFridge is an app where individuals contribute to the macro planning of food supply during the pandemic by providing data of what is already in their household stocks,https://devpost.com/software/bigfridge
ImmunoLynk,Immunity testing meets AI + Blockchain.,https://devpost.com/software/immunolynk
COVID-HEAL,"An all-in-one tool, COVID-HEAL reminds you every time you touch your face, will keep you updated to the latest news based on your location, and provide helpful tips and strategies to avoid COVID-19.",https://devpost.com/software/covid-heal
Hospit-AI,"We wanted to create a machine learning project that tells hospitals when they will reach their maximum capacity, so they can plan ahead.",https://devpost.com/software/hospit-ai-608itu
Autonomous Drone Delivery System,An autonomous drone delivery system to provide efficient and virus-free deliveries.,https://devpost.com/software/deep-learning-drone-delivery-system
Data Visualization and Crowd Analysis using ML Techniques,Real time crowd analysis in crowded places by using AI in CCTV footages,https://devpost.com/software/data-visualization-and-crowd-analysis-using-ml-techniques
PlateHero - Beta,A P2P Food Sharing community-marketplace to support those looking to make a difference. Our Vision is provide everyone with an opportunity to Contribute & Earn money. Good deeds are contagious! #karma,https://devpost.com/software/theplate-io-platehero
Coaware,"Our application, Coaware (COVID19 + Aware), has functionalities designed for emergency situations regarding child abuse prevention, a rising social issue due to increased isolation from COVID-19.",https://devpost.com/software/covid-xn8iow
AlzBuddy - Memory Care Assistant,"Our application provides a user-friendly and straightforward way to assist, entertain, and engage dementia patients around the world.",https://devpost.com/software/alois-memory-care-assistant
Covid-19 Patient/Non-Patient Risk Prediction using AI,For Patient/Non-Patient Covid-19 Risk prediction like Infection Chance or Health of Patients,https://devpost.com/software/covid-19-patient-non-patient-risk-prediction-using-ai
catchy team name (Team X),jdafkljafkj,https://devpost.com/software/sample-project-rlnspq
SurfGuard - Team 16,"The real life pandemic is threatening enough. Remove the online risks with SurfGuard. Our AI powered extension detects fake news and scams, and helps keep video meetings safe with secure passwords.",https://devpost.com/software/surfguard-7vstex
Advanced A.I Health Bot,"An A.I bot with: Telephone calling,NLP,24*7 health coverage,total automatic data management,wipes rumors,Easy navigation,HD pictures,Customer service help etc",https://devpost.com/software/stacy-bot
X-COVID AI Assistant,An AI solution on Detecting COVID-19 signs,https://devpost.com/software/x-covid
CovAid,CovAid is a web application that facilitates deliveries to those in need during these pressing times. The website connects at-risk users with volunteers willing to donate necessities.,https://devpost.com/software/covaid-53hv21
COVIDSeek,"Serving healthcare systems and people through accurate data tracking, visualizations, and forecasting of the coronavirus",https://devpost.com/software/covidseek
Civista (Team 24),Bringing the community closer to home:),https://devpost.com/software/civitas-5idu9k
Virtual Health Checkup|Modelling of CoronaVirus|Technoband,Future prediction with Virtual checkup online and Smart electronic band,https://devpost.com/software/virtual-health-checkup-modelling-of-coronavirus-technoband
Map My Day-- Team 6,Motivating you during these troubling times.,https://devpost.com/software/team-6-hackathon-event
Positinfo - Team 23,Positinfo provides a platform that helps both students and teachers navigate the current situation as best as they can. Positinfo helps you help you.,https://devpost.com/software/positinfo-team-23
"OLFA: Online Learning, For All",An Uber-esque platform that picks students up from a situation where they lack teaching and delivers them to an available teacher able to fill the gaps they’re experiencing.,https://devpost.com/software/olfa-online-learning-for-all
Bridge4Good,A platform connecting homeless shelters with the resources they need during COVID-19,https://devpost.com/software/bridge4good
HyperHelp - TEAM 9,"Helping the most vulnerable in our society. Quickly, efficiently and for free.",https://devpost.com/software/hyperhelp
Team 5: Mapademic,Helping the world manage it's resources in the covid-19 crisis,https://devpost.com/software/mapademic
AIDistance,Project for DistanceHacks hackathon using deep convolutional networks and website integration to aid in social distancing.,https://devpost.com/software/aidistance
ROds,"VisionLearning mobile application which connects pupils/students with information, opportunities and cultures from other parts of the world, in a reversed way",https://devpost.com/software/rods-7h6vi9
Asha,"Our application enables you to connect with a psychologist to seek mental support. We aim to remove the stigma behind mental health. ""Mental illness"" is real and it's okay to seek mental support.",https://devpost.com/software/asha-hgt9kb
Detenlos,una plataforma para denunciar acoso virtual y dar ayuda inmediata a las victimas,https://devpost.com/software/detenlos-j9olak
Communitrolley - Team 17,From your store to their door.,https://devpost.com/software/communuitrolley
All-In -Team 13,Making Undisturbed Online Education Accessible to Everyone!,https://devpost.com/software/our-project-name
Hopeful Home,Making everyone’s House a Haven,https://devpost.com/software/hopeful-home
Team 22 - Dekom.AI,DekomAI is a chatbot that will optimize the healthcare system by automating doctor's mundane tasks.,https://devpost.com/software/dekom-ai
Alex News,The news app that cares,https://devpost.com/software/alex-news
Springbored Labs (Team 1),"Our product is for people who feel alone, especially during Covid-19. The Shadow Hunters is a game which connects people together through teamwork leaving players with a feeling of accomplishment.",https://devpost.com/software/springbored-labs-team-1
ZuneLectures,Transcribes your video lectures so that you can annotate your notes for your online classes.,https://devpost.com/software/zunelectures-luvzwh
Remote patient monitoring system,Remote patient monitoring platform offers an ideal way to monitor patients while they are in quarantine or at home. The platform offers an end-to-end solution all the way from devices,https://devpost.com/software/remote-patient-monitoring-system-zjfnc5
FakeHunter,An app woking with machine learning that helps users allowing them to know if the news are fake or not,https://devpost.com/software/fakehunter-rxe57v
A-I Can Help - Team 2,Minimize COVID-19 Devastation. Maximize Corporate Impact.,https://devpost.com/software/ai-can-help-ck7q1w
