name,description,link
DevTime - Intelligent Time Tracking without Distractions,"Intelligent time tracking tool, that recognizes activity, tracks time and turns distractions off.",https://devpost.com/software/devtime-time-tracking-without-distractions
Ring of Carbon,How many planets did you use today? Ring of Carbon shows you and compensates for a part of your guilt,https://devpost.com/software/ring-of-carbon-e5gn93
Context,Take context switches to the next level,https://devpost.com/software/context-49dob3
Veritas,"a truthserum for the internet. we snapshot websites, and proof their content at a specific point in time using cryptographic signatures from a network of validator nodes.",https://devpost.com/software/veritas-aspr4w
Journe,Subscribe to unlimited travelling with zero emissions.,https://devpost.com/software/journe-6u3znr
Cereal Chuckers,HackZurich git repo for team pineapple,https://devpost.com/software/hackzurich19
Dr. Hazard,We save money and time by making sure people pay more attention to it in high risk times,https://devpost.com/software/dr-hazard
CleanIt,"Clean your city, it's for the best",https://devpost.com/software/cleanit
serial_redacters,This is a project built for HackZurich 2019 where we redact private entity information from legal documents using Machine Learning,https://devpost.com/software/serial_redacters
Plogo Vadis?,"Picking up litter while jogging - that's plogging! Tell us how far you want to run, we plan your route along the dirty paths.",https://devpost.com/software/plogo-vadis
Not New York Times,Fight fake news with a fake news platform,https://devpost.com/software/not-new-york-times
InGoodCompany,Workshop #9 - Predicting Social Consciousness of companies,https://devpost.com/software/ingoodcompany
IQOR,I Quit Ordinary Renting,https://devpost.com/software/iqor
ObLate,"Over 65% of the population are visual learners, and the improved technology of smartphones and AI can facilitate a whole new way for translating and learning a foreign language",https://devpost.com/software/oblate
RL-asmus,automating the hooli roof,https://devpost.com/software/rl-asmus
Surprise Breathtaking Buddy,We wanted to not only offer the potential clients a cheaper way to travel for leisure to a surprise location but wanted to give them an experience from start to finish by taking them on an adventure.,https://devpost.com/software/bss-hackzurich19
Posture Penguin,Improve your productivity and health through Posture Penguin using your webcam with the help of AI.,https://devpost.com/software/posture-pinguin
CarbonWatch,"With CarbonWatch we are not only able to raise awareness about the users carbon footprint, but we also bring the call to action right to the palm of their hand! Track, Challenge -> Compensate.",https://devpost.com/software/carbonwatch
Karyatalash,Have time ? Why waste when you can enjoy,https://devpost.com/software/karyatalash
Best By Surprise,"One button, two surprises",https://devpost.com/software/best-by-surprise
FlyGreen,Know carbon emission for your flight.,https://devpost.com/software/flygreen
PingWin's,Increase the awerness of the dire penguine situtation,https://devpost.com/software/pingwin-s
PengWin,"Protect Penguins, start from Zooh! Zurich",https://devpost.com/software/pengwin-7xw5nd
Space Or TAB,Automated Efficient Tech Recruitment Evaluator,https://devpost.com/software/space-or-tab
PenguinTrail,Put yourself in the shoes of a penguin living in the world we've created!,https://devpost.com/software/penguintrail
YourOwnPreference,"Bring your own data, make every first visit already personalized",https://devpost.com/software/yourownpreference
Wucheänd Surprise,The most fun and affordable way to plan your next weekend!,https://devpost.com/software/wucheand-surprise
BeyondMe - The future of credit,"We want to present the user its financial behavior comparing to other users similar to him. For example we present the user its location in the histogram of income, spending and total wealth comparing",https://devpost.com/software/beyondme-personalized-credit-statistics-for-app-user
Green Place,Let eco-conscious people find a home close to their activities for a reduced carbon footprint,https://devpost.com/software/green-place
My Penguin,Track your sustainable habits to make penguins live longer and happier.,https://devpost.com/software/my-penguin
CO₂mpensate,CO₂mpensate combats climate change with every trip.,https://devpost.com/software/carbon-free
Raise a Penguin Colony to Save the Earth,Our mission is to engage users in a fun and social way to reduce their carbon footprint by providing them personalized lifestyle coaching with a gamification challenge of saving penguins.,https://devpost.com/software/raise-a-penguin-colony-to-save-the-earth
Justify,"With Justify we simplify the process of informed decisions, and as a by product, encourage companies to consider their environmental impact.",https://devpost.com/software/justify
12s.video,We really can't stand listening to people for no good reason. Maximize entropy over time. Thank you.,https://devpost.com/software/12s-video
Peyond,Peyond your Habits,https://devpost.com/software/peyond
iPark,"Peter Parker, where are you?",https://devpost.com/software/peterparkerfinder
news-traveller,Unveil the secrets of this world - one story at a time,https://devpost.com/software/news-traveller
