name,description,link
TRUST-UV-Shaker,An optimized disinfectant UV-Box that shakes the content for better and complete disinfection.,https://devpost.com/software/trust-box
MediGo - A Smart Healthcare System,"Connect with Doctors and get premium class treatment, all through the comfort of your home",https://devpost.com/software/medigo-a-smart-healthcare-system
covid 19 with Ai,i think using Xray images to tell if somebody is positive or negative is comfortable,https://devpost.com/software/covid-19-detection-using-deep-learning-ai
TellusDoc,Bringing cutting-edge healthcare to high need patients in Africa,https://devpost.com/software/tellusone
Beeyond,You can't buy happiness. But you can buy local.,https://devpost.com/software/beeyond
Invalidate,A COVID-19 app with various functionalities to keep users safe during the pandemic.,https://devpost.com/software/invalidate
Zero Contact - Essentials Delivery UAV Bot,The Bot creates and executes an Autonomous Flight Plan for a UAV / Drone based on Guidelines for Contact less Delivery of Essential commodities during the pandemic.,https://devpost.com/software/zero-contact-uav-bot
srcFount,"Src Fount is a cooperative environment whose members are companies and startupsIn this cooperative, apps, services, tools are shared",https://devpost.com/software/srcfount
Covid-Care,An App that will help in maintaining Social Distancing.,https://devpost.com/software/covid-care-5vid6q
In Virtual Hospital We Trust (Trust-My-VH),Trust-My-VH is a 360 interactive hospital that is designed to teach a hospital orientation and the pandemic procedures to the medical staff.,https://devpost.com/software/in-virtual-hospital-we-trust-trust-my-vh
Food-Ordering-website,Death without doing nothing for the wellness of people around with the skills you have is like living the life like a lifeless humanbody.,https://devpost.com/software/food-ordering-website
Sumex,"Read less, know more..",https://devpost.com/software/sumex-2jhlpb
PACT,Preventing all Car Theft/Damage,https://devpost.com/software/pact-c1kil9
Dyscalculia,If you struggle with Dyscalculia you're not alone. We provide some diagnosis which help you to identify you have Dyscalculia or not.,https://devpost.com/software/dyscalculia
CovidScan-An AI Radiology Tool For COVID-19 Pandemic,CovidScan.ai is developed to be a secured AI platform with the purpose to assist radiologists with fast and accurate pneumonia dectection amid this COVID-19 pandemic.,https://devpost.com/software/pneumoscan-an-ai-radiology-tool-for-covid-19-pandemics
SymCheck: A back-to-work screening application post COVID19,"A medical chat bot built powered by Facebook Messenger with the purpose of screening Workers before they enters a corporation building, clinic or for self-monitoring at home.",https://devpost.com/software/virus-checker-a-secured-covid-19-symptom-triaging-chat-bot
HemoCount - An AI-based White Blood Cell Counting Platform,"HemoCount is an AI-based leukocytes (white blood cell) counting platform, which serves as an foundation for an automation and rapid diagnosis process for COVID-19 and other general blood test",https://devpost.com/software/hemonet-an-ai-based-white-blood-cell-count-platform
FastCoV19: ML solution for SARS-COVID-2 Blood Test,Predict possibility of infecting COVID 19 via common laboratory test.,https://devpost.com/software/fastcov19-ml-solution-for-sars-covid-2-blood-test
MaskSeries-Cov1,The new innovative Mask Design solving all the common problems faced by people while wearing masks.,https://devpost.com/software/maskseries-cov1
Online Class Scheduling,To Schedule an Online Class,https://devpost.com/software/online-class-scheduling-dx61q3
COVID4KIDS Game,Kids confused about coronavirus can learn how to act during the pandemic through the fun games they love!,https://devpost.com/software/covid4kids-game
I-Sight,Making visually disabled people independent,https://devpost.com/software/i-sight
danco,coming soon,https://devpost.com/software/fh-app
Covid Tools: Fact/Safety check,A Toolkit to fight Covid-19 Misinformation & Provide Right Information,https://devpost.com/software/covid-tools
na,na,https://devpost.com/software/natyashastra
Open Ventilator,This is an Open Source Ventilator / Mechanical Respirator for the Covid-19 Crisis. Specially Designed for countries in Africa / South America / Middle East /India and other poor regions in the world.,https://devpost.com/software/open-ventilator
HappyMinds,HappyMinds is a mobile app using which users can connect with therapists to seek remote counselling and it uses AI to increase efficiency of remote counselling.,https://devpost.com/software/happyminds
Auxilium,Engage in advance between people who need help and reaching hands,https://devpost.com/software/auxilium-3qebng
Easy Park,Platform to facilitate Easy Parking,https://devpost.com/software/easypark-106sme
unCopied,AI Copyright Data Collector & Notifer,https://devpost.com/software/uncopied
SUPPORT,Helping support businesses during the pandemic,https://devpost.com/software/support-wsa72l
